Datetime,open,high,low,close,volume
2021-06-09 13:21,1.22071,1.22083,1.2207,1.2208,129
2021-06-09 13:22,1.2208,1.22098,1.22075,1.22098,104
2021-06-09 13:23,1.22098,1.22125,1.22098,1.22123,148
2021-06-09 13:24,1.22128,1.22136,1.22124,1.22132,136
2021-06-09 13:25,1.22133,1.22149,1.22132,1.22144,214
2021-06-09 13:26,1.22142,1.22144,1.22125,1.22126,66
2021-06-09 13:27,1.22128,1.22138,1.22117,1.22117,107
2021-06-09 13:28,1.22118,1.22135,1.22118,1.22119,101
2021-06-09 13:29,1.22118,1.2213,1.22115,1.22122,76
2021-06-09 13:30,1.22122,1.22159,1.22122,1.22159,138
2021-06-09 13:31,1.22157,1.22166,1.22154,1.22158,156
2021-06-09 13:32,1.22159,1.22179,1.22159,1.22164,96
2021-06-09 13:33,1.22165,1.22175,1.22156,1.22156,204
2021-06-09 13:34,1.22155,1.22155,1.22146,1.22147,107
2021-06-09 13:35,1.22148,1.22154,1.22142,1.22152,91
2021-06-09 13:36,1.22153,1.22162,1.2215,1.22156,77
2021-06-09 13:37,1.22158,1.22165,1.22152,1.22154,132
2021-06-09 13:38,1.22154,1.22164,1.22139,1.22144,94
2021-06-09 13:39,1.22144,1.22162,1.22141,1.22143,169
2021-06-09 13:40,1.22143,1.22146,1.22136,1.22137,40
2021-06-09 13:41,1.22138,1.22142,1.22112,1.22113,91
2021-06-09 13:42,1.22113,1.22116,1.22102,1.22112,84
2021-06-09 13:43,1.22114,1.22122,1.22108,1.22111,60
2021-06-09 13:44,1.22113,1.22114,1.22101,1.22103,71
2021-06-09 13:45,1.22104,1.22115,1.22099,1.22108,110
2021-06-09 13:46,1.22108,1.22118,1.22105,1.22116,45
2021-06-09 13:47,1.22115,1.22133,1.22112,1.22118,140
2021-06-09 13:48,1.22119,1.22134,1.22108,1.22108,99
2021-06-09 13:49,1.22113,1.22121,1.22107,1.22107,86
2021-06-09 13:50,1.22109,1.22112,1.22079,1.22082,213
2021-06-09 13:51,1.22082,1.22089,1.22077,1.22081,85
2021-06-09 13:52,1.22082,1.2209,1.22064,1.22075,98
2021-06-09 13:53,1.22073,1.22109,1.22069,1.22094,143
2021-06-09 13:54,1.22095,1.22123,1.22094,1.22114,138
2021-06-09 13:55,1.22115,1.22144,1.22115,1.22127,169
2021-06-09 13:56,1.22125,1.22134,1.22123,1.22131,142
2021-06-09 13:57,1.22131,1.22145,1.22131,1.2214,56
2021-06-09 13:58,1.22138,1.22138,1.2212,1.22134,88
2021-06-09 13:59,1.22134,1.22149,1.2213,1.22149,119
2021-06-09 14:00,1.22148,1.22165,1.22128,1.22129,157
2021-06-09 14:01,1.22128,1.22141,1.22102,1.22129,165
2021-06-09 14:02,1.22128,1.22138,1.22125,1.22129,97
2021-06-09 14:03,1.22128,1.2214,1.2212,1.22126,88
2021-06-09 14:04,1.22128,1.22132,1.22119,1.2212,71
2021-06-09 14:05,1.22121,1.22123,1.22101,1.22102,90
2021-06-09 14:06,1.22102,1.22114,1.22098,1.22104,64
2021-06-09 14:07,1.22101,1.22105,1.22094,1.22101,68
2021-06-09 14:08,1.221,1.221,1.22081,1.22081,90
2021-06-09 14:09,1.22082,1.22083,1.22032,1.22049,97
2021-06-09 14:10,1.22052,1.22064,1.22048,1.22063,82
2021-06-09 14:11,1.22061,1.22063,1.2205,1.22054,112
2021-06-09 14:12,1.22056,1.2207,1.22055,1.22069,71
2021-06-09 14:13,1.22068,1.2207,1.22055,1.22055,72
2021-06-09 14:14,1.22057,1.22061,1.22028,1.22031,193
2021-06-09 14:15,1.22031,1.22039,1.22026,1.22028,152
2021-06-09 14:16,1.22028,1.22054,1.22025,1.22044,86
2021-06-09 14:17,1.22044,1.22044,1.22027,1.22038,151
2021-06-09 14:18,1.22039,1.22039,1.22028,1.22035,129
2021-06-09 14:19,1.22037,1.22043,1.2203,1.22036,70
2021-06-09 14:20,1.22036,1.22041,1.22029,1.22029,190
2021-06-09 14:21,1.2203,1.22031,1.22016,1.22016,175
2021-06-09 14:22,1.22016,1.22016,1.21987,1.21998,147
2021-06-09 14:23,1.21998,1.22002,1.21984,1.21989,78
2021-06-09 14:24,1.21988,1.22006,1.21988,1.22006,52
2021-06-09 14:25,1.22005,1.22005,1.21992,1.22001,97
2021-06-09 14:26,1.22002,1.22023,1.22,1.22009,136
2021-06-09 14:27,1.22007,1.22017,1.21994,1.22014,104
2021-06-09 14:28,1.22012,1.22012,1.21993,1.22004,74
2021-06-09 14:29,1.22004,1.22012,1.21993,1.21998,122
2021-06-09 14:30,1.21999,1.22002,1.21986,1.21986,72
2021-06-09 14:31,1.21985,1.21989,1.21967,1.21983,131
2021-06-09 14:32,1.21984,1.21986,1.21952,1.21959,155
2021-06-09 14:33,1.21958,1.2196,1.21953,1.21954,84
2021-06-09 14:34,1.21954,1.21959,1.21949,1.21954,77
2021-06-09 14:35,1.21955,1.21958,1.21942,1.21952,128
2021-06-09 14:36,1.21951,1.21951,1.2194,1.21943,94
2021-06-09 14:37,1.21942,1.21953,1.21932,1.21934,117
2021-06-09 14:38,1.21935,1.21953,1.21929,1.2195,105
2021-06-09 14:39,1.21948,1.21948,1.21933,1.21936,118
2021-06-09 14:40,1.21936,1.21939,1.21929,1.21929,53
2021-06-09 14:41,1.21928,1.21929,1.21912,1.21922,129
2021-06-09 14:42,1.21921,1.21928,1.21921,1.21925,58
2021-06-09 14:43,1.21925,1.21927,1.21912,1.21914,54
2021-06-09 14:44,1.21912,1.21914,1.21905,1.21906,70
2021-06-09 14:45,1.21905,1.21923,1.21883,1.21884,205
2021-06-09 14:46,1.21885,1.21898,1.21884,1.21896,88
2021-06-09 14:47,1.21893,1.21913,1.21888,1.21908,145
2021-06-09 14:48,1.21907,1.21915,1.21898,1.21899,113
2021-06-09 14:49,1.21898,1.21899,1.21888,1.21896,72
2021-06-09 14:50,1.21896,1.21896,1.21859,1.21865,98
2021-06-09 14:51,1.21865,1.21869,1.21845,1.21858,155
2021-06-09 14:52,1.21858,1.2186,1.21817,1.2183,236
2021-06-09 14:53,1.21831,1.21843,1.21829,1.21838,92
2021-06-09 14:54,1.21836,1.21845,1.21826,1.2183,81
2021-06-09 14:55,1.21832,1.21841,1.21819,1.21825,159
2021-06-09 14:56,1.21827,1.21835,1.21812,1.21815,76
2021-06-09 14:57,1.21816,1.21826,1.21812,1.21826,98
2021-06-09 14:58,1.21828,1.21851,1.21828,1.21846,138
2021-06-09 14:59,1.21847,1.21859,1.21842,1.21857,174
2021-06-09 15:00,1.21856,1.21857,1.21841,1.21841,252
2021-06-09 15:01,1.2184,1.21861,1.2184,1.21857,155
2021-06-09 15:02,1.21859,1.21863,1.21851,1.21854,130
2021-06-09 15:03,1.21853,1.21859,1.21851,1.21856,76
2021-06-09 15:04,1.21855,1.21862,1.21854,1.21856,114
2021-06-09 15:05,1.21857,1.21857,1.21841,1.21841,173
2021-06-09 15:06,1.21842,1.21858,1.21841,1.2185,95
2021-06-09 15:07,1.2185,1.21852,1.21841,1.21852,66
2021-06-09 15:08,1.21851,1.21852,1.21845,1.21851,50
2021-06-09 15:09,1.21852,1.2186,1.21845,1.2186,88
2021-06-09 15:10,1.21858,1.21872,1.21856,1.21866,121
2021-06-09 15:11,1.21864,1.21867,1.21851,1.21857,127
2021-06-09 15:12,1.21857,1.21861,1.21851,1.21857,55
2021-06-09 15:13,1.21859,1.21865,1.21852,1.21856,66
2021-06-09 15:14,1.21855,1.21856,1.2185,1.21856,21
2021-06-09 15:15,1.21852,1.21854,1.21845,1.21849,67
2021-06-09 15:16,1.2185,1.21852,1.2185,1.2185,41
2021-06-09 15:17,1.2185,1.21857,1.21846,1.21856,34
2021-06-09 15:18,1.21855,1.2186,1.21849,1.21854,88
2021-06-09 15:19,1.21854,1.21857,1.21851,1.21854,46
2021-06-09 15:20,1.21854,1.21867,1.21852,1.21867,39
2021-06-09 15:21,1.21866,1.21866,1.21845,1.21846,86
2021-06-09 15:22,1.21848,1.21848,1.21842,1.21848,50
2021-06-09 15:23,1.2185,1.21856,1.2185,1.21856,43
2021-06-09 15:24,1.21856,1.21866,1.21856,1.21866,66
2021-06-09 15:25,1.21866,1.21876,1.21863,1.21869,95
2021-06-09 15:26,1.21869,1.21875,1.21866,1.21875,61
2021-06-09 15:27,1.21872,1.21872,1.21854,1.21859,70
2021-06-09 15:28,1.21859,1.21869,1.21859,1.21868,57
2021-06-09 15:29,1.21869,1.21876,1.21864,1.21874,56
2021-06-09 15:30,1.21872,1.21872,1.2186,1.2186,51
2021-06-09 15:31,1.21859,1.21866,1.21855,1.21861,71
2021-06-09 15:32,1.21862,1.2187,1.21852,1.21852,79
2021-06-09 15:33,1.21851,1.21867,1.21851,1.21862,84
2021-06-09 15:34,1.21862,1.2187,1.2186,1.21868,27
2021-06-09 15:35,1.21869,1.2187,1.21858,1.21858,92
2021-06-09 15:36,1.21858,1.21863,1.21858,1.2186,43
2021-06-09 15:37,1.2186,1.21878,1.21859,1.21878,32
2021-06-09 15:38,1.21878,1.21883,1.21877,1.21878,55
2021-06-09 15:39,1.2188,1.21893,1.21878,1.2189,58
2021-06-09 15:40,1.2189,1.21893,1.21886,1.21893,35
2021-06-09 15:41,1.21893,1.21898,1.21892,1.21898,64
2021-06-09 15:42,1.21897,1.21904,1.21896,1.21904,23
2021-06-09 15:43,1.21905,1.21905,1.21891,1.21894,35
2021-06-09 15:44,1.21893,1.219,1.21893,1.21895,31
2021-06-09 15:45,1.21896,1.21899,1.21895,1.21897,47
2021-06-09 15:46,1.21898,1.21898,1.21885,1.21887,64
2021-06-09 15:47,1.21888,1.21888,1.21876,1.21877,80
2021-06-09 15:48,1.21878,1.21885,1.21877,1.21882,69
2021-06-09 15:49,1.21883,1.21885,1.21872,1.21872,47
2021-06-09 15:50,1.21873,1.21874,1.21863,1.21863,45
2021-06-09 15:51,1.21863,1.21869,1.21862,1.21862,27
2021-06-09 15:52,1.21862,1.21862,1.21849,1.21852,62
2021-06-09 15:53,1.21851,1.21853,1.21837,1.21842,94
2021-06-09 15:54,1.21842,1.21843,1.21832,1.21833,64
2021-06-09 15:55,1.21832,1.21843,1.21831,1.21843,80
2021-06-09 15:56,1.21845,1.2185,1.21842,1.21844,62
2021-06-09 15:57,1.21843,1.21852,1.21842,1.21849,89
2021-06-09 15:58,1.2185,1.21853,1.21848,1.21853,43
2021-06-09 15:59,1.21852,1.21852,1.21837,1.21837,46
2021-06-09 16:00,1.21836,1.21838,1.21832,1.21833,43
2021-06-09 16:01,1.21834,1.2184,1.21833,1.21837,22
2021-06-09 16:02,1.21838,1.2184,1.21826,1.21828,62
2021-06-09 16:03,1.21827,1.21827,1.21814,1.21817,46
2021-06-09 16:04,1.21818,1.21822,1.21817,1.21818,20
2021-06-09 16:05,1.21818,1.21818,1.21803,1.21807,76
2021-06-09 16:06,1.21808,1.21808,1.21803,1.21808,83
2021-06-09 16:07,1.21808,1.21813,1.21807,1.21809,27
2021-06-09 16:08,1.21809,1.21811,1.21806,1.21809,29
2021-06-09 16:09,1.21808,1.21811,1.21792,1.21794,72
2021-06-09 16:10,1.21794,1.21801,1.21788,1.21788,120
2021-06-09 16:11,1.21787,1.21789,1.21782,1.21786,55
2021-06-09 16:12,1.21784,1.2179,1.21783,1.21789,14
2021-06-09 16:13,1.21788,1.21803,1.21788,1.21799,32
2021-06-09 16:14,1.21802,1.21803,1.21789,1.21793,43
2021-06-09 16:15,1.21791,1.21791,1.21782,1.21782,38
2021-06-09 16:16,1.21783,1.21783,1.21769,1.21774,57
2021-06-09 16:17,1.21776,1.21782,1.2177,1.21778,51
2021-06-09 16:18,1.21777,1.21782,1.21773,1.21775,22
2021-06-09 16:19,1.21776,1.21785,1.21772,1.21773,41
2021-06-09 16:20,1.21773,1.2178,1.21771,1.21772,51
2021-06-09 16:21,1.2177,1.21782,1.2177,1.21782,29
2021-06-09 16:22,1.21782,1.21782,1.21773,1.21774,28
2021-06-09 16:23,1.21774,1.21776,1.21773,1.21774,21
2021-06-09 16:24,1.21774,1.21779,1.21774,1.21779,9
